ReviewDate,CustomerName,Age,Sex,State,ReviewText,Rating,Sentiment
10/30/2019,Mrs. Amanda Hill,47,Female,UT,"SafeBase is slow, outdated, and full of bugs. Every step of the claims process seems overly complicated. It’s just not a smooth experience at all.",2,Negative
08/27/2021,Allison Franco,44,Other,MS,"Navigating this app is such a hassle. Important information is buried under layers of menus, and the loading times are ridiculously long.",2,Negative
12/08/2020,Natasha Robertson,36,Male,AZ,"SafeBase keeps logging me out randomly, and I have to re-enter my information repeatedly. This is a huge inconvenience, especially when dealing with something as important as insurance claims.",3,Negative
11/28/2023,Heather Hunt,25,Female,RI,"SafeBase keeps logging me out randomly, and I have to re-enter my information repeatedly. This is a huge inconvenience, especially when dealing with something as important as insurance claims.",2,Negative
06/12/2022,Taylor Bradley,46,Female,WY,"This app is more frustrating than convenient. I encountered bugs, and the support team is no help. I still haven’t been able to submit my claim properly.",1,Negative
04/12/2021,Ann Thompson PhD,36,Female,AK,"SafeBase keeps logging me out randomly, and I have to re-enter my information repeatedly. This is a huge inconvenience, especially when dealing with something as important as insurance claims.",3,Negative
10/07/2022,Mark Campos,31,Male,TX,"There’s no excuse for such a poorly designed app in 2024. The navigation is terrible, and I frequently encounter bugs that make it nearly unusable. Very disappointing experience.",2,Negative
09/20/2020,Justin Simpson,26,Female,MS,"I can’t even upload the necessary documents without SafeBase crashing. I’ve had to restart my claim process multiple times, which wastes so much time.",1,Negative
09/23/2024,Danielle Wallace,20,Male,MI,"There’s no real guidance on how to use this app. It’s confusing, hard to navigate, and often results in error messages when submitting claims. It needs major improvements.",2,Negative
04/17/2020,Kayla Oliver,25,Female,MS,"It feels like every time I need this app, it breaks down in some way. It's unreliable and has made the claims process much harder than it should be.",2,Negative
02/15/2023,Kristen Thompson MD,26,Other,MS,"Filing a claim through this app was unnecessarily complicated. It should be a straightforward process, but instead, I encountered error messages at every step. I won't use it again.",2,Negative
11/29/2019,Denise Smith,38,Female,SD,The login system is completely unreliable. Half the time I can't even log in to check the status of my claim. It's a terrible experience and makes me regret using this app.,3,Negative
12/26/2020,Cynthia Schaefer,44,Female,DE,It’s hard to trust an app with so many issues when handling something as important as insurance claims. The constant errors and crashes make it unreliable.,1,Negative
09/15/2022,Brenda Arnold,41,Other,FL,The login system is completely unreliable. Half the time I can't even log in to check the status of my claim. It's a terrible experience and makes me regret using this app.,2,Negative
01/16/2020,William Thomas,35,Male,GA,It’s unfortunate that an app for such an important service performs so poorly. The frequent glitches and crashes make it difficult to rely on.,1,Negative
12/19/2020,Paul Brewer,27,Other,GA,"Filing a claim through this app was unnecessarily complicated. It should be a straightforward process, but instead, I encountered error messages at every step. I won't use it again.",3,Negative
06/19/2020,Karen Nelson,39,Other,OR,It’s unfortunate that an app for such an important service performs so poorly. The frequent glitches and crashes make it difficult to rely on.,2,Negative
04/03/2021,Charles Juarez,42,Female,IA,"I thought SafeBase would make tracking claims easier, but it’s done the opposite. I get no notifications when there’s an update, and half the time it doesn’t even load.",3,Negative
04/08/2022,Dawn Stanton,36,Female,AL,"I expected better. SafeBase's layout is confusing, and the steps to file a claim aren’t clearly outlined. It makes me question if anyone tested this app before releasing it.",3,Negative
01/12/2023,Lori Schneider,40,Male,KS,"The claims tracking feature is broken. I’ve submitted my claim, but there’s no way to know if it was processed. This is unacceptable for an app like this.",3,Negative
08/10/2024,Tony Black,21,Other,MI,"SafeBase keeps logging me out randomly, and I have to re-enter my information repeatedly. This is a huge inconvenience, especially when dealing with something as important as insurance claims.",1,Negative
12/27/2021,Kyle Smith,36,Other,CA,It’s unfortunate that an app for such an important service performs so poorly. The frequent glitches and crashes make it difficult to rely on.,3,Negative
10/30/2023,Summer Garcia,38,Other,CA,"I expected better. SafeBase's layout is confusing, and the steps to file a claim aren’t clearly outlined. It makes me question if anyone tested this app before releasing it.",3,Negative
02/13/2020,Caitlin Johnson,20,Male,OK,"I expected more functionality, but this app is filled with bugs that make the experience frustrating. Even basic tasks like uploading documents fail.",1,Negative
08/10/2020,Mary Knight,17,Female,VA,"The claims tracking feature is broken. I’ve submitted my claim, but there’s no way to know if it was processed. This is unacceptable for an app like this.",2,Negative
10/28/2019,Dr. Amanda Carter,49,Male,TN,It’s hard to trust an app with so many issues when handling something as important as insurance claims. The constant errors and crashes make it unreliable.,2,Negative
09/03/2020,Erica Bruce,16,Female,IN,"I was hoping for a seamless experience, but this app is frustrating to use. Pages take forever to load, and there's no way to track the claim progress properly.",3,Negative
04/09/2020,Mark Wilson,39,Female,AK,"There’s no real guidance on how to use this app. It’s confusing, hard to navigate, and often results in error messages when submitting claims. It needs major improvements.",3,Negative
07/16/2023,Judy Fuller,16,Other,LA,"It took me over an hour to file a simple claim because SafeBase was so slow. Every time I clicked a button, it felt like I had to wait minutes for a response.",3,Negative
08/08/2023,Jacqueline Howell,25,Other,IL,"SafeBase keeps logging me out randomly, and I have to re-enter my information repeatedly. This is a huge inconvenience, especially when dealing with something as important as insurance claims.",3,Negative
02/24/2023,Steven Johnson,33,Male,ME,It’s unfortunate that an app for such an important service performs so poorly. The frequent glitches and crashes make it difficult to rely on.,2,Negative
06/02/2024,Brittany Drake,27,Other,MT,"SafeBase is slow, outdated, and full of bugs. Every step of the claims process seems overly complicated. It’s just not a smooth experience at all.",2,Negative
05/10/2024,Patricia Lewis,16,Male,WY,"Honestly, the user interface is a mess. Nothing is intuitive and it feels like they didn't think about the user experience at all. Definitely needs a major overhaul.",2,Negative
09/05/2020,Alan Howard,28,Female,OH,"I tried submitting my claim three times before it finally went through. Each time, I had to re-upload my documents, and there was no clear error message explaining why it failed.",1,Negative
